order_id,order_datetime,financial_year,week_number,day_name,site,customer_type,service_line,item_name,membership_tier,sales_source,acquisition_channel,staff_id,fulfilment_status,units,list_price_gbp,promotion_code,discount_gbp,refund_gbp,net_sales_gbp,direct_cost_gbp,contribution_margin_gbp,satisfaction_score
ORD000001,2018-01-01,FY2017/18,1,Monday,City Centre,Student,Coaching,Personal Training Session,Not Applicable,Reception,Walk-in,CC-CO-04,Completed,1,46.39,NONE,0.0,0.0,46.39,27.49,18.9,4.6
ORD000002,2018-01-01,FY2017/18,1,Monday,Northside,Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Referral,SYSTEM,Completed,1,61.21,NEWYEAR15,9.18,0.0,52.03,12.82,39.21,3.8
ORD000003,2018-01-02,FY2017/18,1,Tuesday,Northside,Member,Retail,Protein Shake,Not Applicable,Corporate Portal,Existing Customer,SYSTEM,Completed,1,4.77,NEWYEAR15,0.72,0.0,4.05,2.67,1.38,4.8
ORD000004,2018-01-02,FY2017/18,1,Tuesday,Riverside,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Reception,Email,SYSTEM,Completed,1,27.98,NEWYEAR15,4.2,0.0,23.78,4.96,18.82,4.8
ORD000005,2018-01-02,FY2017/18,1,Tuesday,Riverside,Member,Membership,Unlimited Monthly Membership,Unlimited,Corporate Portal,Existing Customer,SYSTEM,Completed,1,62.79,NEWYEAR15,9.42,0.0,53.37,12.89,40.48,4.3
ORD000006,2018-01-03,FY2017/18,1,Wednesday,City Centre,Family Add-on,Membership,Flex Monthly Membership,Flex,Phone,Walk-in,SYSTEM,Completed,1,40.18,NEWYEAR15,6.03,0.0,34.15,6.99,27.16,4.7
ORD000007,2018-01-03,FY2017/18,1,Wednesday,Northside,Student,Membership,Student Off-Peak Membership,Student Off-Peak,Phone,Referral,SYSTEM,Completed,1,27.31,NONE,0.0,0.0,27.31,4.47,22.84,3.7
ORD000008,2018-01-03,FY2017/18,1,Wednesday,City Centre,Student,Membership,Unlimited Monthly Membership,Unlimited,Web Store,Walk-in,SYSTEM,Completed,1,64.7,NEWYEAR15,9.71,0.0,54.99,13.77,41.22,4.4
ORD000009,2018-01-04,FY2017/18,1,Thursday,City Centre,Casual Visitor,Membership,Flex Monthly Membership,Flex,Reception,Walk-in,SYSTEM,Completed,1,40.87,NEWYEAR15,6.13,0.0,34.74,7.18,27.56,4.9
ORD000010,2018-01-05,FY2017/18,1,Friday,Northside,Casual Visitor,Coaching,Personal Training Session,Not Applicable,Web Store,Paid Social,NS-CO-09,Completed,1,44.28,NEWYEAR15,6.64,0.0,37.64,24.1,13.54,4.5
ORD000011,2018-01-06,FY2017/18,1,Saturday,City Centre,Member,Membership,Flex Monthly Membership,Flex,Reception,Referral,SYSTEM,Completed,1,40.03,NEWYEAR15,6.0,0.0,34.03,6.94,27.09,
ORD000012,2018-01-06,FY2017/18,1,Saturday,City Centre,Member,Membership,Unlimited Monthly Membership,Unlimited,Reception,Walk-in,SYSTEM,Completed,1,65.06,NONE,0.0,0.0,65.06,13.92,51.14,4.9
ORD000013,2018-01-06,FY2017/18,1,Saturday,Riverside,Member,Membership,Annual Saver Membership,Annual Saver,Reception,Existing Customer,SYSTEM,Completed,1,424.43,NONE,0.0,0.0,424.43,65.33,359.1,3.3
ORD000014,2018-01-08,FY2017/18,2,Monday,Northside,Returning Member,Membership,Student Off-Peak Membership,Student Off-Peak,Phone,Existing Customer,SYSTEM,Completed,1,27.16,NEWYEAR15,4.07,0.0,23.09,4.51,18.58,4.5
ORD000015,2018-01-08,FY2017/18,2,Monday,City Centre,Casual Visitor,Membership,Flex Monthly Membership,Flex,Web Store,Referral,SYSTEM,Completed,1,39.97,NONE,0.0,0.0,39.97,6.99,32.98,4.5
ORD000016,2018-01-08,FY2017/18,2,Monday,City Centre,Member,Group Class,Pilates Class,Not Applicable,Corporate Portal,Email,CC-GR-12,Cancelled,1,14.47,NEWYEAR15,2.17,11.07,1.23,6.2,-4.97,2.7
ORD000017,2018-01-08,FY2017/18,2,Monday,Northside,Member,Coaching,Personal Training Session,Not Applicable,Reception,Referral,NS-CO-09,Completed,1,43.91,NONE,0.0,0.0,43.91,23.55,20.36,4.5
ORD000018,2018-01-09,FY2017/18,2,Tuesday,City Centre,Casual Visitor,Retail,Resistance Band,Not Applicable,Web Store,Walk-in,SYSTEM,Completed,2,11.55,NONE,0.0,0.0,23.1,11.86,11.24,4.4
ORD000019,2018-01-10,FY2017/18,2,Wednesday,City Centre,Corporate Employee,Retail,Resistance Band,Not Applicable,Reception,Corporate Partnership,SYSTEM,Completed,1,11.33,NEWYEAR15,1.7,0.0,9.63,5.5,4.13,4.6
