transaction_id,transaction_date,year,quarter,month,month_name,customer_id,branch,customer_segment,product_category,product_name,membership_plan,sales_channel,payment_method,campaign,quantity,unit_price_gbp,discount_pct,gross_revenue_gbp,discount_amount_gbp,net_revenue_gbp,estimated_cost_gbp,profit_gbp,is_recurring_payment
TXN-1F8663192EB2493B8422DEA579189D1F,2015-01-01,2015,Q1,1,January,CUST-81FC3458264B43D89FF10398502176DD,City Centre,General,Joining Fee,Joining Fee,Not Applicable,Website,Card,Referral Programme,1,30.53,0.08,30.53,2.44,28.09,7.79,20.3,False
TXN-21FE8B7DA2CC4AC084CBE48986CAE9A6,2015-01-01,2015,Q1,1,January,CUST-91BDD31FFB1E4F47AFC7E1EADB3D7754,City Centre,Corporate,Membership,Monthly Basic Membership,Basic Monthly,Telephone,Direct Debit,No Campaign,1,46.54,0.0,46.54,0.0,46.54,15.08,31.46,True
TXN-AAA118F013D148F7BB0D9628022A1AB1,2015-01-01,2015,Q1,1,January,CUST-D9A45017BD5A499A8E7DA8256C466F3F,City Centre,Family,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Direct Debit,New Year Campaign,1,65.97,0.15,65.97,9.9,56.07,23.24,32.83,True
TXN-B16681C9A74D41908CF673F0241AEDC6,2015-01-01,2015,Q1,1,January,CUST-9DD136B6176A4ABE87F7D8A7C9949EA9,City Centre,Corporate,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,New Year Campaign,1,47.03,0.1,47.03,4.7,42.33,15.56,26.77,True
TXN-C8DA69D9D6C244739B62E0CE40E59923,2015-01-01,2015,Q1,1,January,CUST-3C23A7D84300447EB0B9FC77C882F50F,City Centre,Corporate,Membership,Corporate Membership,Corporate Annual,Corporate Partner,Direct Debit,No Campaign,1,493.77,0.0,493.77,0.0,493.77,124.66,369.11,True
TXN-D878EF385A40403C9DAAC3DEBAF203FE,2015-01-01,2015,Q1,1,January,CUST-BF58E764A3BE44888A8D2146A132DE29,Riverside,Corporate,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Direct Debit,No Campaign,1,64.67,0.0,64.67,0.0,64.67,21.76,42.91,True
TXN-F617EEBB86D343979F46781E968F6ED4,2015-01-01,2015,Q1,1,January,CUST-5D2B7A6019054D46A628D5620016309E,City Centre,Student,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Card,New Year Campaign,1,43.19,0.15,43.19,6.48,36.71,22.22,14.49,False
TXN-0D31CBDADA3E4689BDB93A380C545B29,2015-01-02,2015,Q1,1,January,CUST-86C7AC5D62C048E292B0583C774EAAE8,Riverside,Family,Personal Training,Single Personal Training Session,Not Applicable,Website,Card,New Year Campaign,1,42.47,0.15,42.47,6.37,36.1,21.09,15.01,False
TXN-37466D565FE942538A42F668FA98BDC9,2015-01-02,2015,Q1,1,January,CUST-2E055163AA184945BEBDDCADB048C3A4,Riverside,Family,Membership,Monthly Premium Membership,Premium Monthly,Website,Direct Debit,No Campaign,1,64.61,0.03,64.61,1.94,62.67,22.55,40.12,True
TXN-66695CB3ACCC41879B243A0ED4A36BD2,2015-01-02,2015,Q1,1,January,CUST-048378833F014315A9B412CEC287C2A4,Northside,Student,Supplement,Protein Powder,Not Applicable,Front Desk,Cash,New Year Campaign,1,30.98,0.15,30.98,4.65,26.33,23.75,2.58,False
TXN-715D9A1085EF485D97AD677B68428E50,2015-01-02,2015,Q1,1,January,CUST-565D3CC0F2EB4998AA3F14D5843EB13C,City Centre,Young Professional,Joining Fee,Joining Fee,Not Applicable,Telephone,Card,New Year Campaign,1,30.77,0.15,30.77,4.62,26.15,7.97,18.18,False
TXN-A2D0DADAF8654A50A84152C41D3F5C3A,2015-01-02,2015,Q1,1,January,CUST-5C72D4D320E14594B6F3A51E79D8E4C1,Riverside,Student,Membership,Student Membership,Student Monthly,Front Desk,Direct Debit,New Year Campaign,1,31.87,0.2,31.87,6.37,25.5,10.68,14.82,True
TXN-39AFF330C5B645B38E13E43FA54DCD79,2015-01-03,2015,Q1,1,January,CUST-F902C5EA90534951BAD4A46FEA58E197,City Centre,General,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,No Campaign,1,42.69,0.05,42.69,2.13,40.56,21.95,18.61,False
TXN-829622CCA1F44773928DE550317D7CB1,2015-01-03,2015,Q1,1,January,CUST-5303262A600F46BEB95FF39BAA6FB180,Riverside,Young Professional,Group Class,HIIT Class,Not Applicable,Front Desk,Cash,Referral Programme,1,15.26,0.05,15.26,0.76,14.5,9.88,4.62,False
TXN-1BCCF05B792A4665BA2CB106144C6BEB,2015-01-05,2015,Q1,1,January,CUST-EC03D8BD84C74B8685CBC802C2580690,City Centre,Young Professional,Personal Training,Single Personal Training Session,Not Applicable,Mobile App,Card,No Campaign,1,42.66,0.0,42.66,0.0,42.66,21.85,20.81,False
TXN-9105EA2F4FB14B0EB7F6684FB3D3B87B,2015-01-05,2015,Q1,1,January,CUST-14EE5FFCA85E4AE1925DE51758DB55FB,City Centre,Young Professional,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Direct Debit,New Year Campaign,1,67.69,0.15,67.69,10.15,57.54,23.31,34.23,True
TXN-96A5EDAE47CE4B2B83193189A0BC0B2A,2015-01-06,2015,Q1,1,January,CUST-802C0FACB97D4810A4697A09B87DB902,City Centre,General,Joining Fee,Joining Fee,Not Applicable,Front Desk,Cash,No Campaign,1,30.42,0.0,30.42,0.0,30.42,7.92,22.5,False
TXN-E27248A1FE7649F28B96A16DEAF71082,2015-01-06,2015,Q1,1,January,CUST-71348C09E456415AA0395419F81E73CB,City Centre,Senior,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Card,New Year Campaign,1,43.34,0.2,43.34,8.67,34.67,22.32,12.35,False
